"id","name","del_flag","create_by","create_time","update_by","update_time"
100,"Đồng bộ MISA","0","admin",12/6/2021 11:16:25 AM,"",
200,"Đồng bộ BRAVO","0","admin",12/6/2021 11:16:25 AM,"",
